product_id,product_category,product_type,product_detail
PD-32,Coffee,Gourmet brewed coffee,Ethiopia Rg
PD-57,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
PD-59,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
PD-22,Coffee,Drip coffee,Our Old Time Diner Blend Sm
PD-77,Bakery,Scone,Oatmeal Scone
PD-28,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm
PD-39,Coffee,Barista Espresso,Latte Rg
PD-58,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
PD-56,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
PD-33,Coffee,Gourmet brewed coffee,Ethiopia Lg
PD-51,Tea,Brewed Black tea,Earl Grey Lg
PD-87,Coffee,Barista Espresso,Ouro Brasileiro shot
PD-47,Tea,Brewed Green tea,Serenity Green Tea Lg
PD-79,Bakery,Scone,Jumbo Savory Scone
PD-42,Tea,Brewed herbal tea,Lemon Grass Rg
PD-61,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
PD-69,Bakery,Biscotti,Hazelnut Biscotti
PD-40,Coffee,Barista Espresso,Cappuccino
PD-43,Tea,Brewed herbal tea,Lemon Grass Lg
PD-76,Bakery,Biscotti,Chocolate Chip Biscotti
PD-45,Tea,Brewed herbal tea,Peppermint Lg
PD-71,Bakery,Pastry,Chocolate Croissant
PD-38,Coffee,Barista Espresso,Latte
PD-26,Coffee,Organic brewed coffee,Brazilian Rg
PD-27,Coffee,Organic brewed coffee,Brazilian Lg
PD-29,Coffee,Gourmet brewed coffee,Columbian Medium Roast Rg
PD-54,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
PD-55,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
PD-24,Coffee,Drip coffee,Our Old Time Diner Blend Lg
PD-60,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
PD-78,Bakery,Scone,Scottish Cream Scone
PD-44,Tea,Brewed herbal tea,Peppermint Rg
PD-48,Tea,Brewed Black tea,English Breakfast Rg
PD-23,Coffee,Drip coffee,Our Old Time Diner Blend Rg
PD-46,Tea,Brewed Green tea,Serenity Green Tea Rg
PD-25,Coffee,Organic brewed coffee,Brazilian Sm
PD-34,Coffee,Premium brewed coffee,Jamaican Coffee River Sm
PD-36,Coffee,Premium brewed coffee,Jamaican Coffee River Lg
PD-74,Bakery,Biscotti,Ginger Biscotti
PD-53,Tea,Brewed Chai tea,Traditional Blend Chai Lg
PD-41,Coffee,Barista Espresso,Cappuccino Lg
PD-37,Coffee,Barista Espresso,Espresso shot
PD-50,Tea,Brewed Black tea,Earl Grey Rg
PD-72,Bakery,Scone,Ginger Scone
PD-35,Coffee,Premium brewed coffee,Jamaican Coffee River Rg
PD-70,Bakery,Scone,Cranberry Scone
PD-73,Bakery,Pastry,Almond Croissant
PD-75,Bakery,Pastry,Croissant
PD-31,Coffee,Gourmet brewed coffee,Ethiopia Sm
PD-49,Tea,Brewed Black tea,English Breakfast Lg
PD-52,Tea,Brewed Chai tea,Traditional Blend Chai Rg
PD-30,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
PD-64,Flavours,Regular syrup,Hazelnut syrup
PD-12,Loose Tea,Herbal tea,Peppermint
PD-63,Flavours,Regular syrup,Carmel syrup
PD-6,Coffee beans,Gourmet Beans,Ethiopia
PD-9,Coffee beans,Organic Beans,Organic Decaf Blend
PD-65,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
PD-84,Flavours,Regular syrup,Chocolate syrup
PD-19,Packaged Chocolate,Drinking Chocolate,Dark chocolate
PD-7,Coffee beans,Premium Beans,Jamacian Coffee River
PD-1,Coffee beans,Organic Beans,Brazilian - Organic
PD-17,Loose Tea,Chai tea,Morning Sunrise Chai
PD-10,Coffee beans,Green beans,Guatemalan Sustainably Grown
PD-4,Coffee beans,Espresso Beans,Primo Espresso Roast
PD-15,Loose Tea,Green tea,Serenity Green Tea
PD-16,Loose Tea,Chai tea,Traditional Blend Chai
PD-3,Coffee beans,Espresso Beans,Espresso Roast
PD-20,Packaged Chocolate,Organic Chocolate,Sustainably Grown Organic
PD-83,Branded,Housewares,I Need My Bean! Latte cup
PD-18,Loose Tea,Chai tea,Spicy Eye Opener Chai
PD-21,Packaged Chocolate,Drinking Chocolate,Chili Mayan
PD-13,Loose Tea,Black tea,English Breakfast
PD-11,Loose Tea,Herbal tea,Lemon Grass
PD-5,Coffee beans,Gourmet Beans,Columbian Medium Roast
PD-2,Coffee beans,House blend Beans,Our Old Time Diner Blend
PD-81,Branded,Clothing,I Need My Bean! T-shirt
PD-14,Loose Tea,Black tea,Earl Grey
PD-8,Coffee beans,Premium Beans,Civet Cat
PD-82,Branded,Housewares,I Need My Bean! Diner mug
